pack,raw_location,absolute_location,exists,file_count,promotion_recommendation,license_statuses,top_categories
cat-pixel-mega-pack-44e9b7faf009,imports/raw/more_assets_to_ingest/cat-pixel-mega-pack-44e9b7faf009,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cat-pixel-mega-pack-44e9b7faf009,True,24,hold_quarantine,no_license_evidence,image_uncategorized:24
puny-characters-861ad0bfcff9,imports/raw/more_assets_to_ingest/puny-characters-861ad0bfcff9,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\puny-characters-861ad0bfcff9,True,24,hold_quarantine,no_license_evidence,sprite_or_character:24
bomb-trio-15a9a5f617ca,imports/raw/more_assets_to_ingest/bomb-trio-15a9a5f617ca,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\bomb-trio-15a9a5f617ca,True,22,hold_quarantine,no_license_evidence,image_uncategorized:22
valley-ruin-asset-pack-v0-3-9462cba01349,imports/raw/more_assets_to_ingest/valley-ruin-asset-pack-v0-3-9462cba01349,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\valley-ruin-asset-pack-v0-3-9462cba01349,True,22,hold_quarantine,no_license_evidence,"tileset:10, ui:6, sprite_or_character:4, source_art:2"
adventure-character-16x16-5de188278627,imports/raw/more_assets_to_ingest/adventure-character-16x16-5de188278627,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\adventure-character-16x16-5de188278627,True,21,hold_quarantine,no_license_evidence,sprite_or_character:21
cursed-trees-325ceed068dc,imports/raw/more_assets_to_ingest/cursed-trees-325ceed068dc,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cursed-trees-325ceed068dc,True,20,hold_quarantine,attribution_required_review_required,"image_uncategorized:19, license_or_readme:1"
low-poly-food-assets-set-7c4692b0334b,imports/raw/more_assets_to_ingest/low-poly-food-assets-set-7c4692b0334b,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\low-poly-food-assets-set-7c4692b0334b,True,20,hold_quarantine,no_license_evidence,model_3d:20
masive-update-2-0-1000-assets-80d3c2d7191d,imports/raw/more_assets_to_ingest/masive-update-2-0-1000-assets-80d3c2d7191d,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\masive-update-2-0-1000-assets-80d3c2d7191d,True,20,hold_quarantine,no_license_evidence,"image_uncategorized:16, tileset:2, ui:1, vfx:1"
retro-pixel-ribbons-banners-and-frames-2-4e1baaceda18,imports/raw/more_assets_to_ingest/retro-pixel-ribbons-banners-and-frames-2-4e1baaceda18,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\retro-pixel-ribbons-banners-and-frames-2-4e1baaceda18,True,19,hold_quarantine,no_license_evidence,image_uncategorized:19
pixel-enemy-platformer-919122b8b9ea,imports/raw/more_assets_to_ingest/pixel-enemy-platformer-919122b8b9ea,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\pixel-enemy-platformer-919122b8b9ea,True,18,hold_quarantine,no_license_evidence,sprite_or_character:18
low-poly-props-set-e2af304e2b28,imports/raw/more_assets_to_ingest/low-poly-props-set-e2af304e2b28,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\low-poly-props-set-e2af304e2b28,True,16,hold_quarantine,no_license_evidence,model_3d:16
treasure-d42253f71917,imports/raw/more_assets_to_ingest/treasure-d42253f71917,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\treasure-d42253f71917,True,16,hold_quarantine,no_license_evidence,image_uncategorized:16
puny-dungeon-v1-22fd85633ccd,imports/raw/more_assets_to_ingest/puny-dungeon-v1-22fd85633ccd,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\puny-dungeon-v1-22fd85633ccd,True,15,hold_quarantine,no_license_evidence,"tileset:8, map_or_tileset_data:7"
cragnaw-0accf62a9626,imports/raw/more_assets_to_ingest/cragnaw-0accf62a9626,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cragnaw-0accf62a9626,True,13,hold_quarantine,attribution_required_review_required,"image_uncategorized:12, license_or_readme:1"
dragon-boss-kamedran-734f295ef454,imports/raw/more_assets_to_ingest/dragon-boss-kamedran-734f295ef454,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\dragon-boss-kamedran-734f295ef454,True,13,hold_quarantine,attribution_required_review_required,"image_uncategorized:12, license_or_readme:1"
gaja-43c648a8d855,imports/raw/more_assets_to_ingest/gaja-43c648a8d855,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\gaja-43c648a8d855,True,13,hold_quarantine,attribution_required_review_required,"image_uncategorized:12, license_or_readme:1"
topdown-monsters-part-1-free-e2561ffb99f9,imports/raw/more_assets_to_ingest/topdown-monsters-part-1-free-e2561ffb99f9,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\topdown-monsters-part-1-free-e2561ffb99f9,True,13,hold_quarantine,no_license_evidence,sprite_or_character:13
animal-mega-pack-aa25ca37fc30,imports/raw/more_assets_to_ingest/animal-mega-pack-aa25ca37fc30,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\animal-mega-pack-aa25ca37fc30,True,11,hold_quarantine,no_license_evidence,image_uncategorized:11
cat-pixel-mega-pack-materials-116d3cf56e03,imports/raw/more_assets_to_ingest/cat-pixel-mega-pack-materials-116d3cf56e03,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cat-pixel-mega-pack-materials-116d3cf56e03,True,11,hold_quarantine,no_license_evidence,"image_uncategorized:10, nested_archive:1"
cat-pack-halloween-edition-e2d6e6cb3bd6,imports/raw/more_assets_to_ingest/cat-pack-halloween-edition-e2d6e6cb3bd6,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\cat-pack-halloween-edition-e2d6e6cb3bd6,True,10,hold_quarantine,no_license_evidence,"image_uncategorized:9, source_art:1"
factory-monster-pack-1-20abec1e1e29,imports/raw/more_assets_to_ingest/factory-monster-pack-1-20abec1e1e29,C:\dev\URPG Maker\imports\raw\more_assets_to_ingest\factory-monster-pack-1-20abec1e1e29,True,10,hold_quarantine,no_license_evidence,sprite_or_character:10
